,model,n_reference_groups,n_positive,n_negative,train_accuracy,test_accuracy,precision,recall,training_time,inference_time,embedding
84,"DummyClassifier(constant=0, strategy='constant')",50,20,20,0.4166666666666667,0.6944444444444446,0.0,0.0,0.00012906789779663086,6.575981775919596e-05,pca_50
85,LogisticRegression(),50,20,20,0.8329166666666666,0.6722222222222223,0.408458992341173,0.7633333333333333,0.010138086477915446,0.00023116668065388998,pca_50
86,RidgeClassifier(),50,20,20,0.8329166666666666,0.5809722222222221,0.2957265409002014,0.7408333333333331,0.0016802668571472168,0.00017612377802530925,pca_50
87,SVC(),50,20,20,0.8187500000000002,0.7288888888888889,0.516853061524473,0.7416666666666668,0.0005079905192057291,0.0014311591784159341,pca_50
88,RandomForestClassifier(),50,20,20,0.8329166666666666,0.7,0.4585823811722151,0.7316666666666667,0.11907981634140015,0.019474720954895018,pca_50
89,KNeighborsClassifier(n_neighbors=3),50,20,20,0.737916666666667,0.5633333333333332,0.30126598617476125,0.78,0.00021088123321533203,0.00506366491317749,pca_50
90,"DummyClassifier(constant=0, strategy='constant')",60,5,5,0.5,0.9523809523809509,0.0,0.0,0.00015176932017008465,8.067687352498372e-05,pca_50
91,LogisticRegression(),60,5,5,1.0,0.7185714285714284,0.1681210297977616,0.8099999999999999,0.00682369073232015,0.00021400849024454753,pca_50
92,RidgeClassifier(),60,5,5,1.0,0.6987301587301585,0.1490181779795081,0.7966666666666665,0.0016896883646647135,0.0002071857452392578,pca_50
93,SVC(),60,5,5,0.9983333333333333,0.7873015873015871,0.25865810478495177,0.7999999999999997,0.0004442095756530762,0.0005594174067179362,pca_50
94,RandomForestClassifier(),60,5,5,1.0,0.6993650793650794,0.14569000054914627,0.75,0.13917143742243449,0.0233187993367513,pca_50
95,KNeighborsClassifier(n_neighbors=3),60,5,5,0.8249999999999996,0.53984126984127,0.10680594862328946,0.8866666666666667,0.00025705496470133465,0.004709005355834961,pca_50
96,"DummyClassifier(constant=0, strategy='constant')",57,10,10,0.475,0.8636363636363629,0.0,0.0,0.00014090935389200846,7.437467575073242e-05,pca_50
97,LogisticRegression(),57,10,10,0.9491666666666667,0.7484848484848485,0.3166433971410831,0.8249999999999995,0.008106017112731933,0.00024860302607218425,pca_50
98,RidgeClassifier(),57,10,10,0.9491666666666667,0.7031818181818185,0.25838907056353205,0.8049999999999997,0.0017176270484924316,0.00021480321884155275,pca_50
99,SVC(),57,10,10,0.9366666666666669,0.8083333333333332,0.4294587906487119,0.7933333333333332,0.0004834453264872233,0.0008702317873636882,pca_50
100,RandomForestClassifier(),57,10,10,0.9491666666666667,0.7395454545454547,0.3094368049786819,0.785,0.13276614745457968,0.022324657440185545,pca_50
101,KNeighborsClassifier(n_neighbors=3),57,10,10,0.8049999999999999,0.5850000000000001,0.19243228486347094,0.8449999999999995,0.00023974974950154623,0.00484077533086141,pca_50
102,"DummyClassifier(constant=0, strategy='constant')",50,20,20,0.4166666666666667,0.6944444444444446,0.0,0.0,0.0001426815986633301,6.837050120035807e-05,pca_50
103,LogisticRegression(),50,20,20,0.8333333333333334,0.6662500000000001,0.4022309807138541,0.7591666666666668,0.010415363311767577,0.00023748079935709637,pca_50
104,RidgeClassifier(),50,20,20,0.8333333333333334,0.5943055555555555,0.31078312975979083,0.7108333333333333,0.0016373515129089356,0.0001864314079284668,pca_50
105,SVC(),50,20,20,0.8183333333333336,0.7302777777777779,0.5264885918831179,0.7341666666666667,0.0005221168200174967,0.0015236655871073404,pca_50
106,RandomForestClassifier(),50,20,20,0.8333333333333334,0.6973611111111112,0.46779132109060656,0.7391666666666666,0.12004066308339437,0.020087826251983642,pca_50
107,KNeighborsClassifier(n_neighbors=3),50,20,20,0.7304166666666667,0.5549999999999999,0.2939964201513917,0.7608333333333334,0.00021487871805826823,0.005118072032928467,pca_50
108,"DummyClassifier(constant=0, strategy='constant')",60,5,5,0.5,0.9523809523809509,0.0,0.0,0.00018310944239298502,8.87751579284668e-05,specter
109,LogisticRegression(),60,5,5,1.0,0.7430158730158728,0.21405547051066204,0.8699999999999999,0.010072096188863119,0.00035518805185953776,specter
